,POPULATION_SIZE,both_coop,mixed_coop,mixed_defect,both_defect_winner,INITIAL_COOPERATIE_RATE,POPULATION_LIMIT,P_CROSSOVER,P_MUTATION,RANDOM_SEED,select,determine_strategy,encounterEval,end_coop_populations,end_defect_populations,end_population,dominant_allele_switch,max_reached_at_generation,max_reached_population,is_stable_population_size
0,100,5,0,10,0,0.0,5000,0.0,0.0,42,proportional_to_fitness,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,3,5000,True
1,100,5,0,10,0,0.0,5000,0.0,0.0,42,proportional_to_fitness,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,3,5000,True
2,100,5,0,10,0,0.0,5000,0.0,0.0,42,proportional_to_fitness,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
3,100,5,0,10,0,0.0,5000,0.0,0.0,42,proportional_to_fitness,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
4,100,5,0,10,0,0.0,5000,0.0,0.0,42,ranked_population_curved,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,6,5000,True
5,100,5,0,10,0,0.0,5000,0.0,0.0,42,ranked_population_curved,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,6,5000,True
6,100,5,0,10,0,0.0,5000,0.0,0.0,42,ranked_population_curved,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
7,100,5,0,10,0,0.0,5000,0.0,0.0,42,ranked_population_curved,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
8,100,5,0,10,0,0.0,5000,0.0,0.0,43,proportional_to_fitness,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,3,5000,True
9,100,5,0,10,0,0.0,5000,0.0,0.0,43,proportional_to_fitness,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,3,5000,True
10,100,5,0,10,0,0.0,5000,0.0,0.0,43,proportional_to_fitness,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
11,100,5,0,10,0,0.0,5000,0.0,0.0,43,proportional_to_fitness,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
12,100,5,0,10,0,0.0,5000,0.0,0.0,43,ranked_population_curved,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,6,5000,True
13,100,5,0,10,0,0.0,5000,0.0,0.0,43,ranked_population_curved,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,6,5000,True
14,100,5,0,10,0,0.0,5000,0.0,0.0,43,ranked_population_curved,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
15,100,5,0,10,0,0.0,5000,0.0,0.0,43,ranked_population_curved,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
16,100,5,0,10,0,0.0,5000,0.0,0.0,44,proportional_to_fitness,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,3,5000,True
17,100,5,0,10,0,0.0,5000,0.0,0.0,44,proportional_to_fitness,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,3,5000,True
18,100,5,0,10,0,0.0,5000,0.0,0.0,44,proportional_to_fitness,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
19,100,5,0,10,0,0.0,5000,0.0,0.0,44,proportional_to_fitness,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
20,100,5,0,10,0,0.0,5000,0.0,0.0,44,ranked_population_curved,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,6,5000,True
21,100,5,0,10,0,0.0,5000,0.0,0.0,44,ranked_population_curved,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,6,5000,True
22,100,5,0,10,0,0.0,5000,0.0,0.0,44,ranked_population_curved,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
23,100,5,0,10,0,0.0,5000,0.0,0.0,44,ranked_population_curved,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
24,100,5,0,10,0,0.0,5000,0.0,0.0,45,proportional_to_fitness,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,3,5000,True
25,100,5,0,10,0,0.0,5000,0.0,0.0,45,proportional_to_fitness,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,3,5000,True
26,100,5,0,10,0,0.0,5000,0.0,0.0,45,proportional_to_fitness,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
27,100,5,0,10,0,0.0,5000,0.0,0.0,45,proportional_to_fitness,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
28,100,5,0,10,0,0.0,5000,0.0,0.0,45,ranked_population_curved,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,6,5000,True
29,100,5,0,10,0,0.0,5000,0.0,0.0,45,ranked_population_curved,determineStrategyWithDominantRecessive,gambiteval,5000,0,5000,1,6,5000,True
30,100,5,0,10,0,0.0,5000,0.0,0.0,45,ranked_population_curved,determineStrategyWithMajority,prisonDilemmaEval,0,0,0,1,0,0,True
31,100,5,0,10,0,0.0,5000,0.0,0.0,45,ranked_population_curved,determineStrategyWithMajority,gambiteval,0,0,0,1,0,0,True
32,100,5,0,10,0,0.0,5000,0.0,0.0,46,proportional_to_fitness,determineStrategyWithDominantRecessive,prisonDilemmaEval,5000,0,5000,1,3,5000,True
