,max_found_at_generation,end_mean_fitness_population,end_max_fitness,initial_population,max_generation,crossover_probability,mutation_probability,selection_method,selection_strategy_name,k_value
0,1,697.02,860.0,50,1,0.1,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,1
1,1,685.44,920.0,50,1,0.1,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,2
2,1,699.78,892.0,50,1,0.1,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,1
3,1,717.02,887.0,50,1,0.1,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,2
4,1,710.72,880.0,50,1,0.1,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,1
5,1,652.38,925.0,50,1,0.1,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,2
6,1,723.78,875.0,50,1,0.1,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,1
7,1,663.78,870.0,50,1,0.1,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,2
8,1,707.54,860.0,50,1,0.2,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,1
9,1,703.52,855.0,50,1,0.2,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,2
10,1,661.38,825.0,50,1,0.2,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,1
11,1,667.46,882.0,50,1,0.2,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,2
12,1,731.58,940.0,50,1,0.2,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,1
13,1,687.56,810.0,50,1,0.2,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,2
14,1,666.74,812.0,50,1,0.2,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,1
15,1,650.44,890.0,50,1,0.2,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,2
16,1,681.4,815.0,50,1,0.3,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,1
17,1,676.06,877.0,50,1,0.3,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,2
18,1,653.04,845.0,50,1,0.3,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,1
19,1,703.4,932.0,50,1,0.3,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,2
20,1,689.52,827.0,50,1,0.3,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,1
21,1,655.32,865.0,50,1,0.3,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,2
22,1,716.38,900.0,50,1,0.3,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,1
23,1,668.92,860.0,50,1,0.3,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,2
24,1,684.36,890.0,50,1,0.4,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,1
25,1,693.54,915.0,50,1,0.4,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,2
26,1,671.78,845.0,50,1,0.4,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,1
27,1,717.92,890.0,50,1,0.4,0.2,<function selTournament at 0x000001B015FEF400>,Tournament,2
28,1,661.56,900.0,50,1,0.4,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,1
29,1,702.68,870.0,50,1,0.4,0.3,<function selTournament at 0x000001B015FEF400>,Tournament,2
30,1,670.56,825.0,50,1,0.4,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,1
31,1,738.44,945.0,50,1,0.4,0.4,<function selTournament at 0x000001B015FEF400>,Tournament,2
32,1,733.84,840.0,50,2,0.1,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,1
33,1,753.44,860.0,50,2,0.1,0.1,<function selTournament at 0x000001B015FEF400>,Tournament,2
