,max_found_at_generation,end_mean_fitness_population,end_max_fitness,initial_population,max_generation,crossover_probability,mutation_probability,selection_method,selection_strategy_name,k_value
0,2,906.7,910.0,50,10,0.1,0.1,<function selTournament at 0x000002016523F400>,Tournament,1
1,8,963.94,1002.0,50,10,0.1,0.1,<function selTournament at 0x000002016523F400>,Tournament,2
2,2,927.54,935.0,50,10,0.1,0.2,<function selTournament at 0x000002016523F400>,Tournament,1
3,7,892.24,920.0,50,10,0.1,0.2,<function selTournament at 0x000002016523F400>,Tournament,2
4,7,896.22,937.0,50,10,0.1,0.3,<function selTournament at 0x000002016523F400>,Tournament,1
5,10,834.9,950.0,50,10,0.1,0.3,<function selTournament at 0x000002016523F400>,Tournament,2
6,10,916.54,975.0,50,10,0.1,0.4,<function selTournament at 0x000002016523F400>,Tournament,1
7,8,930.82,980.0,50,10,0.1,0.4,<function selTournament at 0x000002016523F400>,Tournament,2
8,9,887.8,950.0,50,10,0.2,0.1,<function selTournament at 0x000002016523F400>,Tournament,1
9,10,899.14,957.0,50,10,0.2,0.1,<function selTournament at 0x000002016523F400>,Tournament,2
10,8,948.5,970.0,50,10,0.2,0.2,<function selTournament at 0x000002016523F400>,Tournament,1
11,8,904.76,935.0,50,10,0.2,0.2,<function selTournament at 0x000002016523F400>,Tournament,2
12,8,907.34,940.0,50,10,0.2,0.3,<function selTournament at 0x000002016523F400>,Tournament,1
13,6,892.88,910.0,50,10,0.2,0.3,<function selTournament at 0x000002016523F400>,Tournament,2
14,8,907.5,975.0,50,10,0.2,0.4,<function selTournament at 0x000002016523F400>,Tournament,1
15,9,903.1,945.0,50,10,0.2,0.4,<function selTournament at 0x000002016523F400>,Tournament,2
16,8,887.42,982.0,50,10,0.3,0.1,<function selTournament at 0x000002016523F400>,Tournament,1
17,2,901.66,912.0,50,10,0.3,0.1,<function selTournament at 0x000002016523F400>,Tournament,2
18,10,925.1,1000.0,50,10,0.3,0.2,<function selTournament at 0x000002016523F400>,Tournament,1
19,6,918.42,940.0,50,10,0.3,0.2,<function selTournament at 0x000002016523F400>,Tournament,2
20,7,967.66,1005.0,50,10,0.3,0.3,<function selTournament at 0x000002016523F400>,Tournament,1
21,6,903.28,970.0,50,10,0.3,0.3,<function selTournament at 0x000002016523F400>,Tournament,2
22,9,950.78,1010.0,50,10,0.3,0.4,<function selTournament at 0x000002016523F400>,Tournament,1
23,3,877.8,915.0,50,10,0.3,0.4,<function selTournament at 0x000002016523F400>,Tournament,2
24,5,968.4,970.0,50,10,0.4,0.1,<function selTournament at 0x000002016523F400>,Tournament,1
25,3,933.0,935.0,50,10,0.4,0.1,<function selTournament at 0x000002016523F400>,Tournament,2
26,6,952.14,980.0,50,10,0.4,0.2,<function selTournament at 0x000002016523F400>,Tournament,1
27,10,835.8,865.0,50,10,0.4,0.2,<function selTournament at 0x000002016523F400>,Tournament,2
28,8,952.36,1030.0,50,10,0.4,0.3,<function selTournament at 0x000002016523F400>,Tournament,1
29,6,941.8,975.0,50,10,0.4,0.3,<function selTournament at 0x000002016523F400>,Tournament,2
30,6,958.42,985.0,50,10,0.4,0.4,<function selTournament at 0x000002016523F400>,Tournament,1
31,5,922.06,1000.0,50,10,0.4,0.4,<function selTournament at 0x000002016523F400>,Tournament,2
32,5,888.04,890.0,50,11,0.1,0.1,<function selTournament at 0x000002016523F400>,Tournament,1
33,11,914.76,950.0,50,11,0.1,0.1,<function selTournament at 0x000002016523F400>,Tournament,2
34,10,885.2,950.0,50,11,0.1,0.2,<function selTournament at 0x000002016523F400>,Tournament,1
35,5,864.34,880.0,50,11,0.1,0.2,<function selTournament at 0x000002016523F400>,Tournament,2
36,6,956.0,985.0,50,11,0.1,0.3,<function selTournament at 0x000002016523F400>,Tournament,1
37,1,916.6,925.0,50,11,0.1,0.3,<function selTournament at 0x000002016523F400>,Tournament,2
38,11,868.02,895.0,50,11,0.1,0.4,<function selTournament at 0x000002016523F400>,Tournament,1
39,11,900.18,960.0,50,11,0.1,0.4,<function selTournament at 0x000002016523F400>,Tournament,2
40,11,925.8,1000.0,50,11,0.2,0.1,<function selTournament at 0x000002016523F400>,Tournament,1
41,10,910.2,965.0,50,11,0.2,0.1,<function selTournament at 0x000002016523F400>,Tournament,2
42,10,909.66,940.0,50,11,0.2,0.2,<function selTournament at 0x000002016523F400>,Tournament,1
