,"max_found_at_generation","end_mean_fitness_population","end_max_fitness",initial_population,max_generation,crossover_probability,mutation_probability,selection_method,selection_strategy_name,k_value
0,48,961.9,970.0,50,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
1,13,965.9,970.0,50,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
2,4,858.9,860.0,50,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
3,42,935.5,950.0,50,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
4,41,985.2,1000.0,50,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
5,6,938.68,945.0,50,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
6,36,981.84,1000.0,50,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
7,41,955.88,970.0,50,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
8,14,939.4,957.0,50,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
9,21,949.12,967.0,50,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
10,18,974.72,990.0,50,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
11,30,1016.4,1030.0,50,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
12,8,1011.62,1030.0,50,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
13,7,972.3,1005.0,50,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
14,14,1003.94,1030.0,50,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
15,21,935.5,970.0,50,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
16,25,915.0,915.0,50,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
17,15,995.4,1000.0,50,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
18,18,944.4,950.0,50,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
19,44,995.24,1000.0,50,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
20,34,976.98,995.0,50,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
21,37,987.24,1002.0,50,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
22,28,992.52,1005.0,50,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
23,11,1018.5,1030.0,50,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
24,40,989.6,1000.0,50,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
25,35,976.18,985.0,50,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
26,10,949.54,965.0,50,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
27,12,999.72,1030.0,50,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
28,47,955.82,985.0,50,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
29,40,998.86,1030.0,50,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
30,41,952.46,985.0,50,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
31,27,992.82,1005.0,50,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
32,20,961.4,965.0,50,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
33,49,913.6,965.0,50,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
34,23,986.22,1000.0,50,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
35,23,1029.04,1030.0,50,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
36,23,999.24,1030.0,50,50,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
37,28,959.2,970.0,50,50,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
38,12,956.1,965.0,50,50,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
39,10,959.02,972.0,50,50,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
40,32,1010.52,1030.0,50,50,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
41,8,980.2,1000.0,50,50,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
42,29,938.02,957.0,50,50,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
43,12,954.2,970.0,50,50,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
44,43,990.94,1005.0,50,50,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
45,12,987.8,1005.0,50,50,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
46,28,995.54,1030.0,50,50,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
47,11,1002.58,1030.0,50,50,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
48,20,965.68,970.0,50,50,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
49,26,963.66,972.0,50,50,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
50,24,987.68,1000.0,50,50,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
51,21,997.9,1000.0,50,50,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
52,26,955.58,970.0,50,50,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
53,5,1017.46,1030.0,50,50,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
54,9,1011.12,1030.0,50,50,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
55,43,985.34,1000.0,50,50,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
56,47,963.58,1000.0,50,50,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
57,24,1002.64,1030.0,50,50,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
58,12,983.14,1000.0,50,50,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
59,49,985.08,1030.0,50,50,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
60,35,944.54,970.0,50,50,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
61,42,1010.98,1030.0,50,50,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
62,43,984.38,1005.0,50,50,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
63,26,989.5,1002.0,50,50,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
64,16,932.7,940.0,50,100,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
65,16,996.1,1005.0,50,100,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
66,11,958.34,965.0,50,100,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
67,85,993.7,1000.0,50,100,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
68,20,1021.8,1030.0,50,100,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
69,65,1019.6,1030.0,50,100,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
70,44,1018.3,1030.0,50,100,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
71,26,992.32,1005.0,50,100,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
72,74,1013.0,1030.0,50,100,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
73,18,1004.96,1030.0,50,100,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
74,30,1013.7,1030.0,50,100,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
75,86,942.14,960.0,50,100,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
76,9,983.64,1000.0,50,100,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
77,53,991.92,1030.0,50,100,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
78,93,1003.2,1030.0,50,100,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
79,70,1004.0,1030.0,50,100,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
80,14,1026.4,1030.0,50,100,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
81,15,957.28,970.0,50,100,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
82,51,965.3,970.0,50,100,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
83,60,1021.34,1030.0,50,100,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
84,97,947.18,972.0,50,100,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
85,46,980.4,990.0,50,100,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
86,4,904.9,915.0,50,100,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
87,24,1012.12,1030.0,50,100,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
88,46,946.5,970.0,50,100,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
89,100,983.74,1030.0,50,100,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
90,82,1021.6,1030.0,50,100,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
91,9,1009.48,1030.0,50,100,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
92,56,994.76,1030.0,50,100,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
93,71,1016.02,1030.0,50,100,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
94,15,1016.58,1030.0,50,100,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
95,27,1019.18,1030.0,50,100,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
96,48,947.44,960.0,50,100,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
97,32,964.7,970.0,50,100,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
98,25,948.74,950.0,50,100,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
99,51,937.0,940.0,50,100,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
100,25,969.48,985.0,50,100,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
101,50,1020.58,1030.0,50,100,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
102,38,918.44,925.0,50,100,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
103,30,960.9,970.0,50,100,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
104,85,1017.82,1030.0,50,100,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
105,92,1004.64,1030.0,50,100,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
106,26,993.34,1030.0,50,100,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
107,57,980.56,1000.0,50,100,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
108,14,991.14,1030.0,50,100,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
109,100,969.9,1030.0,50,100,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
110,27,989.68,1030.0,50,100,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
111,22,964.22,1000.0,50,100,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
112,30,961.9,965.0,50,100,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
113,99,944.3,965.0,50,100,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
114,1,963.24,970.0,50,100,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
115,47,1001.5,1005.0,50,100,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
116,42,979.84,1000.0,50,100,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
117,13,1022.28,1030.0,50,100,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
118,8,984.02,1005.0,50,100,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
119,80,988.7,1005.0,50,100,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
120,20,979.2,1000.0,50,100,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
121,83,951.4,972.0,50,100,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
122,8,1007.62,1030.0,50,100,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
123,75,1018.74,1030.0,50,100,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
124,20,1008.16,1030.0,50,100,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
125,23,943.4,970.0,50,100,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
126,52,1010.5,1030.0,50,100,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
127,88,947.12,995.0,50,100,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
128,31,915.28,925.0,50,150,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
129,126,1000.0,1000.0,50,150,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
130,29,1021.98,1030.0,50,150,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
131,138,961.8,970.0,50,150,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
132,146,993.16,1005.0,50,150,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
133,25,994.9,1000.0,50,150,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
134,61,960.44,970.0,50,150,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
135,9,971.64,1000.0,50,150,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
136,13,1012.58,1030.0,50,150,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
137,15,953.94,965.0,50,150,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
138,71,987.44,1030.0,50,150,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
139,127,1015.04,1030.0,50,150,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
140,124,1013.1,1030.0,50,150,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
141,25,997.44,1030.0,50,150,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
142,31,1005.4,1030.0,50,150,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
143,20,988.82,1030.0,50,150,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
144,116,945.3,950.0,50,150,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
145,85,993.86,1002.0,50,150,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
146,35,959.48,967.0,50,150,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
147,129,1027.34,1030.0,50,150,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
148,134,1024.4,1030.0,50,150,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
149,141,1005.4,1010.0,50,150,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
150,107,1007.8,1030.0,50,150,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
151,132,994.94,1002.0,50,150,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
152,48,1011.12,1030.0,50,150,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
153,123,973.66,1005.0,50,150,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
154,19,1007.04,1030.0,50,150,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
155,22,985.5,1005.0,50,150,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
156,29,1008.14,1030.0,50,150,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
157,17,990.4,1030.0,50,150,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
158,63,1000.38,1030.0,50,150,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
159,9,996.12,1030.0,50,150,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
160,67,1029.0,1030.0,50,150,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
161,139,997.0,1000.0,50,150,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
162,26,973.8,985.0,50,150,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
163,12,972.56,985.0,50,150,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
164,12,1018.9,1030.0,50,150,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
165,50,1026.3,1030.0,50,150,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
166,51,985.76,1000.0,50,150,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
167,7,996.5,1005.0,50,150,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
168,115,981.98,1005.0,50,150,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
169,47,1020.64,1030.0,50,150,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
170,33,1009.3,1030.0,50,150,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
171,90,988.7,1000.0,50,150,0.3,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
172,30,975.26,1005.0,50,150,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
173,49,965.26,1005.0,50,150,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
174,9,1013.86,1030.0,50,150,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
175,12,1022.58,1030.0,50,150,0.3,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
176,42,1026.34,1030.0,50,150,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
177,82,958.6,965.0,50,150,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
178,80,996.56,1002.0,50,150,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
179,98,1022.14,1030.0,50,150,0.4,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
180,14,1021.38,1030.0,50,150,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
181,5,1018.5,1030.0,50,150,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
182,14,987.68,1005.0,50,150,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
183,33,974.82,982.0,50,150,0.4,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
184,49,1009.1,1030.0,50,150,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
185,128,1015.54,1030.0,50,150,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
186,102,938.0,950.0,50,150,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
187,97,988.98,1002.0,50,150,0.4,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
188,22,1009.16,1030.0,50,150,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
189,14,1004.14,1030.0,50,150,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
190,17,1002.6,1030.0,50,150,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
191,7,1002.12,1030.0,50,150,0.4,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
192,14,1023.8733333333333,1030.0,300,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
193,3,964.2733333333333,970.0,300,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
194,21,1022.32,1030.0,300,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
195,24,994.1,1000.0,300,50,0.1,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
196,30,1020.4133333333333,1030.0,300,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
197,8,1012.1566666666666,1030.0,300,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
198,29,1018.2633333333333,1030.0,300,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
199,47,997.4066666666666,1030.0,300,50,0.1,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
200,11,1009.3433333333334,1030.0,300,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
201,16,1012.42,1030.0,300,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
202,12,1008.67,1030.0,300,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
203,48,993.38,1030.0,300,50,0.1,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
204,22,999.02,1030.0,300,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
205,48,981.0866666666667,1010.0,300,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
206,13,1000.3766666666667,1030.0,300,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
207,11,1004.74,1030.0,300,50,0.1,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
208,13,1024.7833333333333,1030.0,300,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
209,28,1023.7866666666666,1030.0,300,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
210,20,964.49,970.0,300,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
211,14,1022.0933333333334,1030.0,300,50,0.2,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
212,10,1014.9933333333333,1030.0,300,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
213,34,988.78,1000.0,300,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
214,6,1014.8733333333333,1030.0,300,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,3
215,5,1016.8466666666667,1030.0,300,50,0.2,0.2,<function selTournament at 0x00000213A144F520>,Tournament,4
216,15,1010.2033333333334,1030.0,300,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,1
217,26,1007.6133333333333,1030.0,300,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,2
218,13,1010.9033333333333,1030.0,300,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,3
219,12,1012.8733333333333,1030.0,300,50,0.2,0.3,<function selTournament at 0x00000213A144F520>,Tournament,4
220,10,1007.3966666666666,1030.0,300,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,1
221,11,999.9566666666667,1030.0,300,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,2
222,25,1004.1166666666667,1030.0,300,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,3
223,32,976.5966666666667,1005.0,300,50,0.2,0.4,<function selTournament at 0x00000213A144F520>,Tournament,4
224,18,1027.8666666666666,1030.0,300,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,1
225,15,1020.0366666666666,1030.0,300,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,2
226,12,1024.0233333333333,1030.0,300,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,3
227,9,1022.8566666666667,1030.0,300,50,0.3,0.1,<function selTournament at 0x00000213A144F520>,Tournament,4
228,11,1010.3166666666667,1030.0,300,50,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,1
229,13,1013.24,1030.0,300,50,0.3,0.2,<function selTournament at 0x00000213A144F520>,Tournament,2
